StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q134,method_fair,Q132,Q141,Q129,Q135,age,Q136,Q137,Q137_3_TEXT,Q138,Q139,Q140,MTurkCode,budget,money
2019-10-18 17:36:46,2019-10-18 17:40:57,IP Address,*******,100,251,True,2019-10-18 17:40:58,R_2ru60saCwaGgaUY,*******,*******,*******,*******,*******,*******,anonymous,EN,"The counselor would use an algorithm or system to match students most in need of help to mentors to ensure they get the help they need.  Students most in need are the ones that are at risk due to key indicators such as attendance, income, and distance from school.",Yes it is fair,,Anything that can be done to get students in need a mentor would be valuable.  I would also make mentors available to low-risk students that wouldn't be matched by the algorithm if they decided they wanted a mentor.,Somewhat fair,Parents should be able to voice their concern and nominate their children for mentors if they would like to.,31,Graduate or professional school,Male,,I do not have children,Slightly liberal,98117,14882,larger budget,more
2019-10-18 17:29:48,2019-10-18 17:40:59,IP Address,*******,100,670,True,2019-10-18 17:40:59,R_2xJ2mdeMsI4JCXu,*******,*******,*******,*******,*******,*******,anonymous,EN,It means the counselor will not be using a human's judgement to decide who is most in need of a mentor.  The predictive model will not know whose car has broken down or who doesn't have enough money to pay for childcare.,No it is not fair,I think every situation should be judged by the circumstances the predictive model could not possibly know about.,,Somewhat unfair,"I think both parents and students should have a say in this issue.  ",41,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Extremely liberal,35111,16736,smaller budget,less
2019-10-18 17:39:08,2019-10-18 17:41:08,IP Address,*******,100,120,True,2019-10-18 17:41:09,R_1lofVHP0IeVNqpm,*******,*******,*******,*******,*******,*******,anonymous,EN,I think it could be effective but I feel like children will fall through the cracks.,No it is not fair,I think some children wont get the help they need.,,Somewhat unfair,I think there are children that will be missed.,23,High school diploma or GED,Female,,I do not have children,Extremely liberal,52601,10786,larger budget,more
2019-10-18 17:33:16,2019-10-18 17:41:49,IP Address,*******,100,513,True,2019-10-18 17:41:49,R_2qaQGnsElS85tg2,*******,*******,*******,*******,*******,*******,anonymous,EN,Using data can always be useful and supportive in any profession to better time usage and accountability to all. it helps in setting goals and being very specific in need. I can see some kids slipping through the cracks that actually need the assistance from a counselor without the use of this model. Some high schools are the size of colleges if not bigger.,Yes it is fair,,"Its fair because the statistics gathered in the model to make the data has a good percentage in identifying those kids that need the mentors the most. Of course its not 100% as some other kids that are not what the model would say needs a mentor actually might need the assistance but it lessens the numbers of the kids that really do and go without. ",Somewhat fair,"I think parents should be able to offer suggestions but they also must be willing to help and contribute to helping the school system in the effort even if they feel the model would offer no use. Its still a large taking, model or not, to filter help to the students in any case.",35,4-year college degree,Male,,I have children and at least one is school-aged (3-18),Slightly liberal,30083,10081,smaller budget,less
2019-10-18 17:38:27,2019-10-18 17:41:57,IP Address,*******,100,210,True,2019-10-18 17:41:58,R_Z7CnG0OCTnLS9l7,*******,*******,*******,*******,*******,*******,anonymous,EN,they take a bunch of data about kids and it goes into a model and presumably gives them some sort of risk score for missing school. and kids with high scores get mentors.,No it is not fair,"I doubt the predictive model is very good. seems more like all kids should get mentors, or if they are really short on resources kids who start having problems should get mentors. ",,Somewhat unfair,"well I think they should be able to complain about it. But unless a lot of parents complain I imagine a school can do what they want. ",29,4-year college degree,Female,,I have children but none are school age (they're younger than 3 or older than 18),Extremely liberal,55126,12644,smaller budget,less
2019-10-18 17:33:55,2019-10-18 17:42:09,IP Address,*******,100,494,True,2019-10-18 17:42:09,R_1ikrGwYIBOP1alz,*******,*******,*******,*******,*******,*******,anonymous,EN,"It would mean that the school uses the previous years data about the students to determine who would be more eligible to receive a mentor because of the schools very small budget. ",No it is not fair,"It is an easier way to determine who would receive mentoring; however, it isn't fair because there will be kids who need  it that will fall through the cracks.",,Somewhat unfair,"Parents should have major input in determining this type of predictive model for their children. Understanding there is less money; however, perhaps the parents can help with other alternatives and ideas to raise the money to ensure children that need the mentor will receive one. ",42,4-year college degree,Female,,I have children and at least one is school-aged (3-18),Slightly conservative,32506,18643,smaller budget,less
2019-10-18 17:36:50,2019-10-18 17:42:19,IP Address,*******,100,328,True,2019-10-18 17:42:19,R_2rpexnUIQdbaP2e,*******,*******,*******,*******,*******,*******,anonymous,EN,"I think it would depend on what level the student is academically, their location, and how they learn overall. They insert it into this sort of algorithm, maybe have priority for certain types of students?",Yes it is fair,,I think it is a great idea to help students succeed in school!,Extremely fair,"I think parents should have somewhat of a say in whether or not they want their child to have a mentor, but I also think the decision should be mostly up to the student.",27,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Slightly liberal,92407,11413,larger budget,more
2019-10-18 17:31:11,2019-10-18 17:42:27,IP Address,*******,100,675,True,2019-10-18 17:42:27,R_T0cQNSSFYDWn7QB,*******,*******,*******,*******,*******,*******,anonymous,EN,"Using a predictive model means implementing an unbiased algorithm to decide where best to allocate the rather limited mentoring budget. It will reduce the chance that such an important decision will be tainted by a desire to pander to political correctness, feminist misinformation and other trendy unscientific fads. Ideally, it will allow the neediest students to get help without any specific regard given to their race, sex or background.",Yes it is fair,,"Using a predictive model will allow the counselor to lessen or eliminate the influence of faddish nonsense like patriarchy theory, white privilege, intersectionality, et.al. Aid distribution should be decided based on need rather than gender or the color of a particular student's skin. ",Extremely fair,"If the model is being created by scientifically minded individuals who haven't been corrupted my various trendy hokum, I do not think that parents should have any particular input into this process. I think a predictive model will work incredibly well as long as the people creating it are more interested in making fair use of a limited budget rather than playing liberal identity politics.",32,4-year college degree,Male,,I do not have children,Conservative,11234,17389,smaller budget,less
2019-10-18 17:32:52,2019-10-18 17:42:30,IP Address,*******,100,577,True,2019-10-18 17:42:30,R_2YWfMKU5k3ThR5c,*******,*******,*******,*******,*******,*******,anonymous,EN,The counselor would make a decision on who gets a mentor based off of the predictive model. They would probably look at who is at the bottom of the social ladder and who would need the most help in order to have a chance to succeed.,Yes it is fair,,It would reduce the chances of the decision being biased.,Extremely fair,I think parents should be able to submit a request to be considered and that is it.,44,Some college or 2-year college,Female,,I do not have children,Liberal,30106,16955,larger budget,more
2019-10-18 17:35:49,2019-10-18 17:42:36,IP Address,*******,100,407,True,2019-10-18 17:42:36,R_3sejPyXqowchV9n,*******,*******,*******,*******,*******,*******,anonymous,EN,I would imagine all the available data is input then an algorithm would analyze it using whatever parameters were mandated in order to make selections.,Yes it is fair,,"The decisions would be based on facts and statistics, and there would be no preconceived notions about any particular students based on past experiences or even reputation.",Extremely fair,"I think parents should always have the right to offer input, but they certainly shouldn't have the final say in any matters related to the education of all students in a district.  That would be the purpose of school boards who have to be pragmatic and weigh cost versus benefit.",46,High school diploma or GED,Female,,I have children but none are school age (they're younger than 3 or older than 18),Slightly liberal,19946,13933,smaller budget,less
2019-10-18 17:34:27,2019-10-18 17:42:53,IP Address,*******,100,505,True,2019-10-18 17:42:53,R_1DRUxfwfIqW2lsp,*******,*******,*******,*******,*******,*******,anonymous,EN,It would mean that the counselor would not use their own innate analysis (subjective) to come up with a model based on their personal/professional thoughts. The predictive model will use objective data to create an analysis on who should receive mentors based solely on numbers.,No it is not fair,"It takes the human element out of the equation. It is solely based on numbers and doesn't have personal insight that they school counselors might have on each student. ",,Somewhat fair,"The parents pay tax dollars for the school. They should have a voice. It should not be the only voice, but it should count in the equation. I would get their input on what they think should be done considering the situation. But it would simply be a voice along with the school board and other invested parties in solving the issue equitably (not fairly).",41,Graduate or professional school,Male,,I do not have children,Slightly liberal,30083,10450,smaller budget,less
2019-10-18 17:40:39,2019-10-18 17:43:08,IP Address,*******,100,148,True,2019-10-18 17:43:08,R_2xJJBDUIlg2roPT,*******,*******,*******,*******,*******,*******,anonymous,EN,I would say that they will go about which students need the most help and what subject do they need more work in. I would go by the lower income versus the higher income parents from each student.,No it is not fair,I think some students will not get the help they need,,Extremely unfair,They should do a poll and vote on what way the counselors should pick students.,26,4-year college degree,Female,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",31082,17838,larger budget,more
2019-10-18 17:38:43,2019-10-18 17:43:14,IP Address,*******,100,270,True,2019-10-18 17:43:16,R_3gLAuBLMFknsJjB,*******,*******,*******,*******,*******,*******,anonymous,EN,"It would mean that the counselor would rely on the input about each student to determine whether or not they would be frequently absent from school. Things such as past attendance, income, and the distance they live from school would be taken into account.",Yes it is fair,,Because I believe it would be impartial and based on facts instead of someone's opinion or personal preference.,Somewhat fair,I think the parents should be given the opportunity to vote on the different methods available.,41,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Conservative,40935,14137,smaller budget,less
2019-10-18 17:40:03,2019-10-18 17:43:18,IP Address,*******,100,194,True,2019-10-18 17:43:18,R_0uLx2Hjwt8kedO1,*******,*******,*******,*******,*******,*******,anonymous,EN,"This study examined a national sample of school counselors and their ability to implement the American School Counselor Association National Model. Percentage of time spent in non counseling duties, perceived level of principal support, and principals’ knowledge of school counselors’ appropriate roles were statistically significant predictor variables for school counselors’ ability to implement the National Model. We discuss implications for the school counseling profession.",No it is not fair,Predictive analytics is designed to help these businesses tap into this untapped potential. Hidden in that data are patterns that reveal meaningful customer insights that when used effectively can have a very real impact on the bottom line,,Somewhat fair,"good ",30,4-year college degree,Male,,I do not have children,Liberal,93523,18298,smaller budget,less
2019-10-18 17:30:01,2019-10-18 17:43:35,IP Address,*******,100,814,True,2019-10-18 17:43:35,R_2rZ5En4buVp3hd1,*******,*******,*******,*******,*******,*******,anonymous,EN,If the counselor only uses the algorithm there may be other students that don't fit into those requirements that really might need a tutor more than someone that does fit into those requirements. Especially parents income and distance. It should be based on attendance mostly.,Yes it is fair,,"I think that it is fair, I would just worry that it may leave students out. I can see though that this may be the most fair way to appease more parents.",Somewhat fair,I definitely think that parents should have input into how to decide who will get mentors. Communication is key to make sure that parents know that the district is trying to be as fair as possible.,42,Graduate or professional school,Female,,I have children and at least one is school-aged (3-18),Liberal,27545,10803,larger budget,more
2019-10-18 17:40:10,2019-10-18 17:43:41,IP Address,*******,100,210,True,2019-10-18 17:43:41,R_3kHvp2Yl2PGgPo4,*******,*******,*******,*******,*******,*******,anonymous,EN,A predictive model would use an algorithm to show the best ways to determine which students would benefit best from mentorship.,No it is not fair,"I think a predictive model misses out on human thought. Actual people see the students each day and could better assess who would benefit from the program. ",,Somewhat unfair,"Parents should have some input, especially if they think their child would or would not benefit. ",38,4-year college degree,Female,,I do not have children,Liberal,28211,12213,larger budget,more
2019-10-18 17:34:15,2019-10-18 17:43:52,IP Address,*******,100,576,True,2019-10-18 17:43:52,R_2EfNGWPNXgXPeGf,*******,*******,*******,*******,*******,*******,anonymous,EN,"I think using an algorithm could help highlight data that is useful more quickly than the counselor needing to page through data about every student and make decisions. That being said, it is good that this program would be used in conjunction with a counselor and not just the algorithm on its own.",Yes it is fair,,"I think it is fair for the reasons I explained in the first writing prompt.  Since a counselor is using the tool I would imagine that they still have final say in who gets mentors.  I simply think the tool will help find those who may need help in a more efficient manner and make sure that the problem is nipped in the bud. Often we don't notice things until the issue arises, the algorithm might help stop the issue before it starts.",Extremely fair,I think the parents should help decide what goes into the algorithm by giving input and then as the program rolls out they should be able to continue to give input. Also if they feel their child may be at risk they should be able to put in an application for mentoring that is reviewed personally by the counselor.,33,Some college or 2-year college,Male,,I do not have children,Slightly liberal,99568,12204,larger budget,more
2019-10-18 17:38:44,2019-10-18 17:44:01,IP Address,*******,100,317,True,2019-10-18 17:44:01,R_3efZhbWXAY7Oo5j,*******,*******,*******,*******,*******,*******,anonymous,EN,A predictive model would entail having a computer program look at past data which can draw connections based on prior years to find out which students will be more likely to miss school and assign mentors using that data.,Yes it is fair,,"Provided the algorithm used to decide it is isn't biased in any way, it's a method which solely makes choices based on data without lettings people's own emotions and experiences skew their decision making.",Extremely fair,I'm not sure parents should really have much input at all...especially since if they were likely to care about their kids' education they probably wouldn't need to have mentors to get them to school in the first place.,28,Some college or 2-year college,Male,,I do not have children,"Moderate, Middle of road",02359,17692,smaller budget,less
2019-10-18 17:39:34,2019-10-18 17:44:29,IP Address,*******,100,294,True,2019-10-18 17:44:29,R_2DRBnwuoeHXbS2F,*******,*******,*******,*******,*******,*******,anonymous,EN,The counselor is trying to identify students that will likely miss a lot of school.,Yes it is fair,,Given the lack of resources it makes sense to allocate them somehow. Identifying students who are likely to miss a lot of school seems like a good way to go about it.,Somewhat fair,"I think the parents should definitely be consulted. Maybe even give them a chance to predict how often they think their own child will miss school and then use that in the algorithm. ",37,Graduate or professional school,Male,,I do not have children,Liberal,44470,16491,smaller budget,less
2019-10-18 17:37:07,2019-10-18 17:44:31,IP Address,*******,100,443,True,2019-10-18 17:44:31,R_2qarXAxbLcUp2bd,*******,*******,*******,*******,*******,*******,anonymous,EN,"I think it would be effective, but there would be a couple students that get missed. Income whether high or low, doesn't necessarily mean a student will miss school. A predictive model does us a range of data which can help narrow results to students, but it dow not cover every basis. ",Yes it is fair,,"Being able to use certain data that is the most important, like attendance, can help tremendously and focus on students who have attendance issues. Although I do think all students need to know they have someone that cares for them at their school.",Somewhat fair,"I would say, have that parents see the results and see if the predictive model is accurate enough.",30,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Conservative,92707,17276,larger budget,more
2019-10-18 17:32:59,2019-10-18 17:44:33,IP Address,*******,100,693,True,2019-10-18 17:44:33,R_1l63RRJpmn40jeT,*******,*******,*******,*******,*******,*******,anonymous,EN,Sounds like the counselor would use a series of data and after gathering all relative information she would see what kids need assistance and which kids would be fine with the regular everyday kind of school in a classroom with other kids.  The kids who's parents don't have the means or for some the desire for their child to find success would then have the ability to have somebody who they could interact with on an individual basis.  So they would thrive seeing somebody every day that shows them support.,Yes it is fair,,If the current system isn't working why wouldn't you try something different.  School could try it and if some kids who weren't included start falling behind then maybe find a way to get them a mentor as well.  Also those kids who have nobody to push them should at least be given a better opportunity which a mentor could provide.,Extremely fair,If their children are doing ok and are in no risk of failing then they shouldn't worry about the school doing something to help more unfortunate kids out.  Also if the parents don't have the money to further the kid along they should approach them to make sure they'd appreciate a mentor for the child.,40,4-year college degree,Male,,I do not have children,Liberal,74331,12216,larger budget,more
2019-10-18 17:35:46,2019-10-18 17:44:40,IP Address,*******,100,534,True,2019-10-18 17:44:41,R_3kblKaunSD1MXyt,*******,*******,*******,*******,*******,*******,anonymous,EN,"Instead of waiting the students to look for help themselves, school counselor would recommend students to get mentors by analyzing student's history and personal situation. It's based heavier on statistics rather than the counselor's subjective judgement. ",Yes it is fair,,"I believe that sometimes people aren't really aware about their own situation and what kind of support they really need. By using the model, I think it could help those unseen students who are in need.",Somewhat fair,Parents should require the counselor to give the final say to them and the students themselves. The counselors could use the model to predict the students' needs or whatever but they should not have the choice to force the students to get mentors.,23,4-year college degree,Male,,I do not have children,Slightly liberal,89123,12916,larger budget,more
2019-10-18 17:31:00,2019-10-18 17:45:02,IP Address,*******,100,842,True,2019-10-18 17:45:02,R_3Dex3n4vse6Em3j,*******,*******,*******,*******,*******,*******,anonymous,EN,"This would likely mean that mentors would be paired with those students the predictive model identifies as needing the most assistance. This would obviously entail a significant amount of work, especially when it comes to gathering necessary data. That said, while this would allow for the quickest and least biased outcome, students are more than mere data sets. The model used by the counselor could result in several students who need a mentor not receiving one.",No it is not fair,"The counselor is the one determining the data used in the predictive model, which can alter outcomes. Moreover, as I attributed in a previous section, students and their need for a mentor should rely on more than just data.",,Somewhat unfair,"Parents should be able to voice their concerns regarding the model that is used. If enough disagree with the predictive model, it should not be used at all. However, parents need to be a part of the solution and offer alternatives.",30,4-year college degree,Male,,I have children and at least one is school-aged (3-18),Slightly liberal,60185,13061,smaller budget,less
2019-10-18 17:40:21,2019-10-18 17:45:38,IP Address,*******,100,316,True,2019-10-18 17:45:38,R_1CHhYwztMNQQucx,*******,*******,*******,*******,*******,*******,anonymous,EN,"A predictive model is a mathematical or algorithmic method--generally, something run on a computer--that would use a large amount of existing data about the set of students to make recommendations on which ones would benefit most from having mentors.",Yes it is fair,,Cannot really answer in a binary manner without more information--it may or may not be fair depending on how the model is constructed and what kind of outcome it produces. Predictive models like these have been shown to exhibit pretty stark demographic biases in real life.,Neither fair nor unfair,"Detailed information about how the model works, who designed it, who funded it, and what assumptions it operates under.",28,Some college or 2-year college,Male,,I do not have children,Liberal,92707,14077,larger budget,more
2019-10-18 17:33:50,2019-10-18 17:45:42,IP Address,*******,100,711,True,2019-10-18 17:45:42,R_1NsLyAvrFMEQGXx,*******,*******,*******,*******,*******,*******,anonymous,EN,"They want to use a predictive model to help choose which students will get mentors to help keep them from missing a lot of school. The model would use the students' data, attendace from the past years, parents income and how far they live away from the school.",No it is not fair,"The predictive model can't take into account a students mental health, the environment in which they live, problems that they may be having at home or in school, school environment, bullying, depression, anxiety, anything that won't show up in the data. Also, children that have parents that make more money than others' don't necessarily have the means to get help somewhere other than school. Sometimes the families are larger and just because the parents make more money doesn't mean they aren't drowning in debt or paying for other bills so they can't afford to pay for a mentor or tutor for themselves. Just because someones parents make more money doesn't mean they need less help! Income shouldn't even be factored into it. It should all be what the child needs and only a person that has spent time with the child and learned about them and got to know them would know what that particular child needs!",,Extremely unfair,The parents should be able to tell them what they think their children are having problems with or any issues the children may be having.,47,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Conservative,21804,10419,larger budget,more
2019-10-18 17:35:35,2019-10-18 17:45:43,IP Address,*******,100,607,True,2019-10-18 17:45:43,R_1FrjBWi2CksXE21,*******,*******,*******,*******,*******,*******,anonymous,EN,It would give a probability of a certain outcome based on the information provided.,No it is not fair,I feel this decision should based on human beings carefully looking at the evidence and not a software program. People can feel empathy. A software program can't feel empathy.,,Extremely unfair,Parents feelings should be taken into account. It is their children who will be affected. Their feelings about this issue should weigh heavily on what choice is made.,48,High school diploma or GED,Male,,I do not have children,Extremely Conservative,08542,19873,smaller budget,less
2019-10-18 17:38:51,2019-10-18 17:45:52,IP Address,*******,100,420,True,2019-10-18 17:45:52,R_23VvQ5VdTPc6vRq,*******,*******,*******,*******,*******,*******,anonymous,EN,"I would guess it would look at past records of attendance to see how many missed school days students had.... that would be coupled with parents income somehow and they are stating that those things together would help to predict which students may miss a lot of school.  I would suppose parents who generally have a lower income and live further away from the school, theoretically may have students who have poorer attendance records?  I am not sure that I would agree with this predictive model though.",No it is not fair,"I just do not feel that those items being looked at are fair things to base attendance on and to help decide which students should or should not get mentors.  I feel that this is discrimination and extremely unfair and judgemental. ",,Extremely unfair,"I think grades should be looked at first and foremost as far as mentors being assigned... then attendance.... teachers, staff and parents ALL need to meet to discuss all of these items when discussing the possibility of assigning mentors.",45,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Extremely liberal,54874,13563,smaller budget,less
2019-10-18 17:40:05,2019-10-18 17:46:21,IP Address,*******,100,376,True,2019-10-18 17:46:21,R_83cQqFxuLZGAz97,*******,*******,*******,*******,*******,*******,anonymous,EN,"The school will be able to address the students that need the mentors the most. The mentors will help them to grow and learn better. The model will use the student's data and information to make the decision. ",Yes it is fair,,"Because the model uses the data that needed to help the right students. There will be no bias and preferences. Other parents can't complain about the decision. ",Somewhat fair,"Maybe some information can have more points than others based on the importance of the data such as the poor family have more points than family that live far away from school. ",39,4-year college degree,Female,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",33594,13459,larger budget,more
2019-10-18 17:38:43,2019-10-18 17:46:29,IP Address,*******,100,465,True,2019-10-18 17:46:29,R_2tn7unfqi3W6069,*******,*******,*******,*******,*******,*******,anonymous,EN,Using a predictive model means that the school will determine which students are most likely to miss school over the next year based an analysis of the students' past data and then pair those students with mentors.,Yes it is fair,,"I believe using empirical evidence to determine the likelihood of students missing school is fair as long as it is based on objective factors that do not discriminate against students or identify students based on any factor that could be discriminatory. ",Somewhat fair,"Parents should know how the school district determines which factors are evaluated in the model/algorithm, what training the counselor has had on choosing and evaluating the factors objectively, whether anyone else in the school district will be involved in the process, whether there is an appeal process for parents who do not want their student to be paired with a mentor, and whether parents can offer input that will have influence in determining which students are selected.",38,Graduate or professional school,Male,,I do not have children,Liberal,70115,14429,larger budget,more
2019-10-18 17:41:51,2019-10-18 17:47:03,IP Address,*******,100,311,True,2019-10-18 17:47:03,R_DS1EK2B87v55sc1,*******,*******,*******,*******,*******,*******,anonymous,EN,"A predictive model would show the most needy children that it thinks needs assistai. For instance one parent households, low income and minorities. Not necessarily true, but what it thinks.",No it is not fair,There are wealthy white people that have serious issues and could use the help.,,Extremely unfair,The parents should have some say so.,43,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Liberal,33190,19442,larger budget,more
2019-10-18 17:31:24,2019-10-18 17:47:38,IP Address,*******,100,973,True,2019-10-18 17:47:38,R_2aWBCKo8DJhIkc5,*******,*******,*******,*******,*******,*******,anonymous,EN,"It's essentially an algorithm that utilizes a large amount of input data to come up with some sort of result, in this case which students are more deserving of a mentor. The algorithm is likely to have many different rules and works a lot like a large flow chart. They input data for a student and after processing it will determine if that student is deserving of a mentor based on the algorithms criteria.",No it is not fair,"Because the model will still be based on a set of rules that are ultimately not going to be ""fair"" in any sense. In other words, the rules are inherently biased and thus so will the model be. It can't really ever be completely fair.",,Somewhat unfair,"They should be able to provide input on what ""set of rules"" this model uses. For example, what is the cut off for a student's family total income. Ultimately, the model is based on criteria and rules and these parents should have some say in those. If that's the case the model becomes much more ""fair"" to some degree.",35,4-year college degree,Male,,I do not have children,"Moderate, Middle of road",53029,12546,larger budget,more
2019-10-18 17:38:36,2019-10-18 17:47:44,IP Address,*******,100,547,True,2019-10-18 17:47:44,R_21HamJp42b6a1tu,*******,*******,*******,*******,*******,*******,anonymous,EN,"The school counselor will know which students are likely to skip class based on what I am assuming a ""score"" that the math equation gives the student based on the given criteria.",No it is not fair,The predictive model can be manipulated by the school counselor to only account for certain students and can be manipulated by the parents of the student to get their child a mentor. A better way to decide could be a case-by-case basis.,,Somewhat unfair,The parents should have a vote on whether to use the extra money on more mentors or use the extra money on the predictive model.,21,Some college or 2-year college,Male,,I do not have children,Slightly liberal,91723,19030,larger budget,more
2019-10-18 17:37:16,2019-10-18 17:48:07,IP Address,*******,100,650,True,2019-10-18 17:48:07,R_zSRt0O2K7lm27IJ,*******,*******,*******,*******,*******,*******,anonymous,EN,SO children do need show need when assessed by just data analyzed. There are many cases where a human brain can assess needs based on more than just numbers. I believe some students who could use a mentor will be left out because the analyzed data left them out.,No it is not fair,"Many students that could use the mentoring may be left out due to just analyzing certain factors. ",,Somewhat unfair,"Parents should have plenty of input. It is their children and tax dollars/ They should have a say on how the program selects and operates. ",43,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Extremely liberal,37813,15982,smaller budget,less
2019-10-18 17:37:22,2019-10-18 17:48:31,IP Address,*******,100,668,True,2019-10-18 17:48:31,R_pAxfb1naDbLGVmF,*******,*******,*******,*******,*******,*******,anonymous,EN,"It would be a more efficient way to determine who would make best use of the mentors help. I think the algorithm is there to make the best choice without any prejudice from a human. Doing this would make best use of the already shrinking budget. ",Yes it is fair,,"I think it would be fair as far as keeping the playing field even between candidates  who need the mentor. It gives the students the chance to step up and show how much interest they have in learning, and those most deserving would be rewarded with the mentor. I think that this would be the best way to make a choice. ",Extremely fair,"I do not think they should have much input at all. There are so many parents that someone is bound to have an issue with this process, but others will think it is completely fair. ",46,Some college or 2-year college,Male,,I do not have children,"Moderate, Middle of road",37327,14214,smaller budget,less
2019-10-18 17:42:47,2019-10-18 17:48:57,IP Address,*******,100,369,True,2019-10-18 17:48:57,R_Av491AiQ6p83fi1,*******,*******,*******,*******,*******,*******,anonymous,EN,They will use the data to see which students take school seriously in order to be chosen for mentors.,Yes it is fair,,"If a student is missing a lot of school or has low grades and not trying, then they shouldn't get mentors. ",Somewhat fair,"See if mentors can be selected from outside the community to work for free. ",29,4-year college degree,Male,,I do not have children,"Moderate, Middle of road",95816,11510,smaller budget,less
2019-10-18 17:47:12,2019-10-18 17:49:05,IP Address,*******,100,113,True,2019-10-18 17:49:06,R_1gdThaZ4CLvwqoJ,*******,*******,*******,*******,*******,*******,anonymous,EN,It means that the school will have more a data driven manner in choosing the students' mentors. It means they'll rely on metrics rather than the decision of the counselor themselves.,Yes it is fair,,I think it is fair because it takes the guess work out of it.,Somewhat fair,I don't think parents should have any input on the school district's decision.,28,4-year college degree,Male,,I do not have children,"Moderate, Middle of road",70808,10511,larger budget,more
2019-10-18 17:36:21,2019-10-18 17:49:21,IP Address,*******,100,780,True,2019-10-18 17:49:21,R_VQ0M2lpsDiwe3OF,*******,*******,*******,*******,*******,*******,anonymous,EN,"The predictive model will make it easier for the counselor to decide which students need a mentor the most, since the school can't afford mentors for all students.",Yes it is fair,,I think it would be the most accurate and unbiased method of deciding who needs a mentor the most.,Extremely fair,I don't think the parents should have any input in this. It should be up to the school to decide whether to switch to a predictive model.,32,4-year college degree,Female,,I do not have children,Conservative,77377,15979,larger budget,more
2019-10-18 17:44:50,2019-10-18 17:49:37,IP Address,*******,100,287,True,2019-10-18 17:49:37,R_3MatHUPizXY9njD,*******,*******,*******,*******,*******,*******,anonymous,EN,"A predictive model eliminates the human/emotional aspect of decision making.  A predictive model is an algorithm that would analyze a set of data and produce an answer - in this case, a list of which students should get mentors",Yes it is fair,,"Though there is always a risk of bias being programmed into a predictive model, in general following a model would eliminate any individual bias.",Somewhat fair,I would want to know the details of the predictive model and who designed it.,36,4-year college degree,Male,,I do not have children,Liberal,55416,14514,larger budget,more
2019-10-18 17:43:00,2019-10-18 17:49:40,IP Address,*******,100,400,True,2019-10-18 17:49:41,R_1o0Gl2EiUJZEiKl,*******,*******,*******,*******,*******,*******,anonymous,EN,The school counselor will input all relevant data into the predictive model and the model will provide a list of students that will receive a mentor.,No it is not fair,It should be up to the parents to decide if their child needs a mentor or not.,,Somewhat unfair,Parents should be fully involved in the process since it is their kids that are getting mentors.,35,4-year college degree,Male,,I do not have children,Slightly liberal,07076,17763,larger budget,more
2019-10-18 17:39:12,2019-10-18 17:50:00,IP Address,*******,100,648,True,2019-10-18 17:50:01,R_12P8JiDcu19U6db,*******,*******,*******,*******,*******,*******,anonymous,EN,"Essentially the school counselor would be profiling students.  ",No it is not fair,There are so many variable that should be considered. Info just based on what the school has collected would seem to only include quantitative data and possibly lagging behind current situations.  It would seem qualitative data should factor into the decision that I don't think predictive models can efficiently analyze.,,Somewhat unfair,"I think parents should have some input.  Though, I'm sure, ever parent would fight for their own child to get additional help.  I think input from current teachers would be most valuable.",44,Graduate or professional school,Female,,I have children and at least one is school-aged (3-18),Slightly liberal,96822,13129,larger budget,more
2019-10-18 17:38:18,2019-10-18 17:50:25,IP Address,*******,100,726,True,2019-10-18 17:50:25,R_2CJ1fq7c3QbNiW7,*******,*******,*******,*******,*******,*******,anonymous,EN,"The AI will used information base on the students attendance, family income, distance to the school and if the students are likely to miss school. I think this would be a great idea but also challenging because the AI could missed students who could really benefit from the extra help. Or the AI could be wrong too. I think they should just provide the extra help to all the students they feel that are struggling and if need be, cut budgets in other areas.",No it is not fair,I just explained my reasoning on the other question provided.,,Neither fair nor unfair,The parents should be able to choose some of the qualifying questions the AI will be able to asked the students. And have the final say if the child will receive the help based off the predicament of the AI.,42,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",55412,11871,smaller budget,less
